,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nanortalik,99,GL,1609795197,96,60.14,-45.24,27.12,8.41
1,Padang,90,ID,1609795199,88,-0.95,100.35,73.4,1.12
2,Carnarvon,75,AU,1609795200,94,-24.87,113.63,71.6,6.93
3,Vaini,75,TO,1609795203,88,-21.2,-175.2,80.6,9.17
4,Tehachapi,1,US,1609794962,44,35.13,-118.45,53.6,18.34
5,Husavik,20,IS,1609795205,64,66.04,-17.34,39.2,12.75
6,Puerto Ayora,20,EC,1609795207,65,-0.74,-90.35,80.6,8.05
7,East London,98,ZA,1609795209,72,-33.02,27.91,76.75,7.61
8,Nemuro,0,JP,1609795210,88,43.32,145.57,19.4,15.17
9,Río Gallegos,0,AR,1609795211,25,-51.62,-69.22,64.4,17.22
10,Daru,100,PG,1609795212,88,-9.08,143.21,77.94,8.41
11,Povenets,93,RU,1609795044,96,62.85,34.83,16.09,3.62
12,San Patricio,1,US,1609795215,60,28.02,-97.52,80.01,4.7
13,Stykkisholmur,73,IS,1609795216,84,65.08,-22.73,35.85,17.31
14,Butaritari,4,KI,1609795217,80,3.07,172.79,81.27,16.91
15,Naze,75,JP,1609795218,100,28.37,129.48,64.4,18.34
16,Busselton,0,AU,1609795220,82,-33.65,115.33,59.0,5.01
17,Albany,94,US,1609795090,84,42.6,-73.97,35.01,3.22
18,Dunmore Town,32,BS,1609795222,72,25.5,-76.65,75.88,10.13
19,Bintulu,40,MY,1609795223,100,3.17,113.03,73.4,5.82
20,Yelniki,100,RU,1609795224,98,54.62,43.88,28.18,7.43
21,Jamestown,90,US,1609795225,97,42.1,-79.24,34.0,2.21
22,Katsuura,75,JP,1609795226,60,35.13,140.3,41.0,4.7
23,Manokwari,100,ID,1609795227,77,-0.87,134.08,79.45,4.54
24,Broken Hill,0,AU,1609795228,63,-31.95,141.43,60.8,17.22
25,Mar del Plata,90,AR,1609794980,88,-38.0,-57.56,71.6,11.41
26,Kenai,40,US,1609795232,84,60.55,-151.26,16.0,6.93
27,Rikitea,46,PF,1609795234,78,-23.12,-134.97,76.93,18.88
28,Gumia,86,IN,1609795235,54,23.78,85.82,63.3,2.53
29,Calama,40,CL,1609795237,27,-22.47,-68.93,73.4,24.16
30,Atuona,55,PF,1609795238,77,-9.8,-139.03,77.9,18.03
31,Hithadhoo,100,MV,1609795240,74,-0.6,73.08,82.67,10.67
32,Nikolskoye,75,RU,1609795242,74,59.7,30.79,30.2,6.71
33,Ambovombe,17,MG,1609795243,72,-25.17,46.08,74.98,8.66
34,Ponta do Sol,20,PT,1609795244,87,32.67,-17.1,61.0,2.24
35,Mahébourg,40,MU,1609795246,83,-20.41,57.7,77.0,11.41
36,Hong Kong,98,HK,1609795205,73,22.29,114.16,64.0,5.39
37,Saint George,1,US,1609794959,34,37.1,-113.58,55.0,4.7
38,Ushuaia,40,AR,1609795249,50,-54.8,-68.3,53.6,24.16
39,Berlevåg,75,NO,1609795251,80,70.86,29.09,39.2,18.34
40,Faya,0,SA,1609795252,93,18.39,42.45,57.2,3.36
41,Hilo,90,US,1609795253,78,19.73,-155.09,73.4,6.93
42,Talcahuano,0,CL,1609795254,46,-36.72,-73.12,71.6,20.8
43,Mataura,100,NZ,1609795256,92,-46.19,168.86,55.0,1.01
44,Tutóia,75,BR,1609795257,74,-2.76,-42.27,84.2,14.99
45,Namatanai,97,PG,1609795258,73,-3.67,152.43,81.27,8.61
46,Bluff,100,NZ,1609795259,92,-46.6,168.33,55.0,1.01
47,Beringovskiy,80,RU,1609795260,90,63.05,179.32,-6.9,18.3
48,Yellowknife,20,CA,1609795262,75,62.46,-114.35,-18.0,6.93
49,Pundaguitan,100,PH,1609795265,83,6.37,126.17,80.69,17.49
50,Saint Paul Harbor,75,US,1609795266,100,57.79,-152.41,28.4,3.36
51,Isangel,75,VU,1609795267,88,-19.55,169.27,82.4,5.82
52,Laguna,90,US,1609795043,87,38.42,-121.42,55.99,10.29
53,Lüderitz,0,NA,1609795270,73,-26.65,15.16,71.6,3.67
54,Raton,1,US,1609795271,19,36.9,-104.44,50.0,10.29
55,Kapaa,40,US,1609795272,69,22.08,-159.32,78.8,9.17
56,Acaraú,87,BR,1609795274,72,-2.89,-40.12,81.27,15.59
57,Arrondissement de Bastia,75,FR,1609795275,75,42.67,9.33,48.0,2.24
58,San Roque,43,ES,1609795277,66,36.21,-5.38,50.0,8.05
59,Punta Arenas,0,CL,1609795278,54,-53.15,-70.92,53.6,19.46
60,Huicungo,100,PE,1609795279,61,-7.28,-76.8,84.69,2.73
61,Kaitangata,100,NZ,1609795281,81,-46.28,169.85,57.99,3.0
62,Avarua,90,CK,1609795282,66,-21.21,-159.78,84.2,18.34
63,Khetri,46,IN,1609795283,93,27.98,75.8,57.42,9.26
64,Barrow,90,US,1609795159,75,71.29,-156.79,-13.0,3.36
65,Tasiilaq,100,GL,1609795285,57,65.61,-37.64,19.4,5.82
66,Cape Town,20,ZA,1609795221,88,-33.93,18.42,71.01,18.34
67,Ust-Kuyga,83,RU,1609795287,80,70.02,135.6,-36.29,9.06
68,Villazón,74,BO,1609795288,64,-22.09,-65.59,53.83,16.58
69,Foça,75,TR,1609795290,59,38.67,26.76,62.6,14.99
70,Iqaluit,20,CA,1609795113,68,63.75,-68.51,-18.4,4.7
71,Thompson,90,CA,1609795293,77,55.74,-97.86,3.2,6.93
72,Kieta,96,PG,1609795294,70,-6.22,155.63,81.93,3.09
73,Omsukchan,100,RU,1609795295,79,62.53,155.8,-30.3,5.03
74,Leh,70,IN,1609795297,74,34.17,77.58,12.45,2.48
75,Sisimiut,100,GL,1609795298,95,66.94,-53.67,16.65,13.02
76,Charlestown,0,AU,1609795300,97,-32.95,151.67,71.01,3.27
77,Vila Velha,20,BR,1609795134,78,-20.33,-40.29,80.6,9.17
78,Kiunga,100,PG,1609795302,97,-6.12,141.29,73.98,0.63
79,Hermanus,17,ZA,1609795304,85,-34.42,19.23,71.01,3.0
80,Bredasdorp,52,ZA,1609795305,88,-34.53,20.04,69.8,8.05
81,Ozerne,100,UA,1609795306,89,50.18,28.73,36.91,9.24
82,Port Alfred,70,ZA,1609795307,93,-33.59,26.89,72.0,1.07
83,Port Lincoln,100,AU,1609795308,72,-34.73,135.87,58.95,16.4
84,Linjiang,0,CN,1609795309,80,41.81,126.91,0.45,2.19
85,Capão da Canoa,44,BR,1609795310,72,-29.75,-50.01,74.86,19.46
86,Tuatapere,100,NZ,1609795312,92,-46.13,167.68,55.0,1.01
87,Lorengau,69,PG,1609795313,78,-2.02,147.27,82.74,12.24
88,Kyshtovka,3,RU,1609795315,87,56.55,76.63,-20.94,3.62
89,Dikson,100,RU,1609795316,91,73.51,80.55,-8.55,23.67
90,Arlit,0,NE,1609795317,17,18.74,7.39,78.66,6.17
91,Hirara,2,JP,1609795318,83,24.8,125.28,73.74,7.92
92,São Filipe,77,CV,1609795320,75,14.9,-24.5,76.1,5.82
93,Adrar,97,MR,1609795321,33,20.5,-10.07,68.74,8.81
94,Severo-Kuril'sk,92,RU,1609795323,91,50.68,156.12,20.79,17.36
95,Port Elizabeth,96,ZA,1609795324,94,-33.92,25.57,73.4,3.36
96,Brattvåg,0,NO,1609795326,79,62.6,6.44,28.4,11.41
97,Moerai,0,PF,1609795327,77,-22.43,-151.33,80.26,19.91
98,Yanam,7,IN,1609795328,80,16.73,82.22,72.59,6.33
99,Ugoofaaru,100,MV,1609795330,78,5.67,73.0,81.55,9.75
100,Miles City,1,US,1609795331,28,46.41,-105.84,46.4,6.93
101,Gambēla,37,ET,1609795334,41,8.25,34.58,82.72,2.44
102,Kiama,51,AU,1609795336,96,-34.68,150.87,72.0,3.0
103,Huilong,95,CN,1609795337,85,31.81,121.66,46.0,13.4
104,Sept-Îles,37,CA,1609795181,85,50.2,-66.38,25.0,2.24
105,Chui,98,UY,1609795339,72,-33.7,-53.46,75.45,16.46
106,Hobart,20,AU,1609795180,82,-42.88,147.33,62.01,6.93
107,Mahenge,10,TZ,1609795341,100,-8.68,36.72,65.28,2.51
108,Maceió,75,BR,1609795107,74,-9.67,-35.74,78.8,5.82
109,Bonavista,0,CA,1609795343,92,48.65,-53.11,26.6,3.36
110,Faanui,100,PF,1609795346,78,-16.48,-151.75,80.73,18.59
111,Kailua,20,US,1609795347,61,21.4,-157.74,78.8,10.29
112,Zhezkazgan,100,KZ,1609795348,89,47.8,67.71,0.23,8.61
113,Camacha,40,PT,1609795349,87,33.08,-16.33,60.8,4.7
114,Ribeira Grande,75,PT,1609795351,93,38.52,-28.7,60.8,26.4
115,Sidi Ali,26,DZ,1609795353,79,36.1,0.42,45.88,10.74
116,Westport,1,US,1609795209,60,41.14,-73.36,42.8,5.82
117,Cayenne,75,GF,1609795272,74,4.93,-52.33,84.2,13.87
118,Tuktoyaktuk,75,CA,1609795356,74,69.45,-133.04,-22.0,6.93
119,Acaponeta,0,MX,1609795357,20,22.5,-105.36,89.01,5.91
120,Amapá,75,BR,1609795358,89,1.0,-52.0,78.51,2.93
121,Sioux Lookout,40,CA,1609795359,97,50.1,-91.92,32.0,6.93
122,Karratha,68,AU,1609795360,36,-20.74,116.85,86.11,11.65
